P,size,run,time
32,120,1,1.302258
32,120,2,1.326823
32,120,3,1.901186
32,120,4,1.874120
32,120,5,1.309334
32,240,1,9.698433
32,240,2,9.514489
32,240,3,9.311682
32,240,4,9.760624
32,240,5,9.322293
48,120,1,1.373544
48,120,2,1.789366
48,120,3,1.441967
48,120,4,2.115496
48,120,5,1.786057
48,240,1,9.593197
48,240,2,9.214980
48,240,3,9.820633
48,240,4,9.473813
48,240,5,10.299493
64,120,1,1.579527
64,120,2,1.556175
64,120,3,1.469554
64,120,4,1.502921
64,120,5,1.495676
64,240,1,9.922627
64,240,2,9.917199
64,240,3,9.830856
64,240,4,9.852692
64,240,5,9.988444
96,120,1,3.782565
96,120,2,4.627373
96,120,3,4.515522
96,120,4,4.363429
96,120,5,4.478122
96,240,1,12.822386
96,240,2,12.827939
96,240,3,13.177672
96,240,4,12.758967
96,240,5,13.043375
