P,M,Time
8,262144,0.089040
8,262144,0.089261
8,262144,0.088246
8,262144,0.089082
8,262144,0.088339
8,1048576,0.375801
8,1048576,0.375293
8,1048576,0.377814
8,1048576,0.379531
8,1048576,0.374241
16,262144,0.174539
16,262144,0.174270
16,262144,0.174906
16,262144,0.174971
16,262144,0.182395
16,1048576,0.671139
16,1048576,0.667996
16,1048576,0.665960
16,1048576,0.668012
16,1048576,0.666359
32,262144,0.497363
32,262144,0.440550
32,262144,0.417999
32,262144,0.466879
32,262144,0.404689
32,1048576,1.245883
32,1048576,1.242826
32,1048576,1.191618
32,1048576,1.337202
32,1048576,1.318302
